"alphat","p","T","Un:0","Un:1","Un:2","U:0","U:1","U:2","Us:0","Us:1","Us:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-2.0619159840862e-05,2.000497341156,0.017909063026309,-4.8545705794822e-05,0,-0.011678296141326,-4.8161200538743e-05,0,-0.062565751373768,-4.7499885113211e-05,0,1,0.0001300000003539,0.0074999998323619,0.0001300000003539,4.9999998736894e-05
0,-2.0618945200113e-05,2.000497341156,0.018543934449553,-5.1080933189951e-05,0,-0.011043424718082,-5.0687129260041e-05,0,-0.061930883675814,-5.0009817641694e-05,0,1,0.00013500000932254,0.0074999998323619,0.00013500000932254,4.9999998736894e-05
0,-2.0618732378352e-05,2.000497341156,0.019178804010153,-5.3616149671143e-05,0,-0.01040855422616,-5.3213047067402e-05,0,-0.061296012252569,-5.2519746532198e-05,0,1,0.00014000000373926,0.0074999998323619,0.00014000000373926,4.9999998736894e-05
0,-2.0618517737603e-05,2.000497341156,0.019813675433397,-5.6151377066271e-05,0,-0.0097736828029156,-5.5738975788699e-05,0,-0.060661140829325,-5.5029679060681e-05,0,1,0.0001450000127079,0.0074999998323619,0.0001450000127079,4.9999998736894e-05
0,-2.0618303096853e-05,2.000497341156,0.020448544993997,-5.8686593547463e-05,0,-0.0091388132423162,-5.8264893596061e-05,0,-0.06002626940608,-5.7539604313206e-05,0,1,0.00015000000712462,0.0074999998323619,0.00015000000712462,4.9999998736894e-05
0,-2.0618166672648e-05,2.000497341156,0.021019855514169,-6.1201564676594e-05,0,-0.0085675027221441,-6.0774833400501e-05,0,-0.059454958885908,-6.0040882090107e-05,0,1,0.00015500000154134,0.0074999998323619,0.00015500000154134,4.9999998736894e-05
0,-2.0618032067432e-05,2.000497341156,0.021591167896986,-6.371655035764e-05,0,-0.0079961903393269,-6.3284780480899e-05,0,-0.058883648365736,-6.2542167142965e-05,0,1,0.00016000001050998,0.0074999998323619,0.00016000001050998,4.9999998736894e-05
0,-2.0617895643227e-05,2.000497341156,0.022162478417158,-6.623152148677e-05,0,-0.0074248793534935,-6.579471664736e-05,0,-0.058312337845564,-6.5043444919866e-05,0,1,0.0001650000049267,0.0074999998323619,0.0001650000049267,4.9999998736894e-05
0,-2.0617759219022e-05,2.000497341156,0.022733790799975,-6.8746507167816e-05,0,-0.0068535669706762,-6.830466008978e-05,0,-0.057741023600101,-6.7544729972724e-05,0,1,0.00017000001389533,0.0074999998323619,0.00017000001389533,4.9999998736894e-05
0,-2.0617622794816e-05,2.000497341156,0.023305101320148,-7.1261478296947e-05,0,-0.0062822564505041,-7.0814603532199e-05,0,-0.057169713079929,-7.0046015025582e-05,0,1,0.00017500000831205,0.0074999998323619,0.00017500000831205,4.9999998736894e-05
